hash,perplexity
1,2.6673445233697652
2,4.226009261731705
3,3.7634333818664802
4,6.260827771008379
5,5.5821496055875865
6,3.690015315468035
7,2.3387801975845233
8,3.7634333818664802
9,6.181259461322014
10,2.104857488307002
11,3.055125705603672
12,9.820121138655118
13,3.521106176180017
14,3.3784272599767515
15,5.4185453991496875
16,4.610005975819526
17,4.835041862336151
18,5.345289333150541
19,5.470333808720344
20,4.969780069418308
21,3.712185492824632
22,4.55986483619057
23,4.531170193317712
24,5.4680808887961545
25,4.889032585578628
26,6.19267469378469
27,3.744759216726759
28,8.16674435188587
29,7.3915431033527685
30,4.036077727817026
31,3.7634333818664802
32,5.946561641376974
33,2.104857488307002
34,3.055125705603672
35,9.820121138655118
36,3.6653028082491264
37,3.5595623244321133
38,5.582660844602452
39,4.754542837371442
40,5.2139889995761175
41,5.57956973793751
42,5.613995151805836
43,5.11357329935526
44,3.9821586986887043
45,4.829329589472326
46,5.129585387116288
47,5.732899268131956
48,5.149607766845732
49,6.649972324501132
50,3.744759216726759
51,5.7969170159894965
52,5.867570672980162
53,5.639617469329222
54,6.181420351138486
55,5.719867567526414
56,6.169494005598014
57,5.639617469329222
58,6.181420351138486
59,5.872912582352995
60,6.30644723340915
61,5.792068092474534
62,6.3175360890585335
63,7.4138627594727655
64,5.412449383819406
65,5.926272408482348
66,5.412449383819406
67,3.2553548155006644
68,3.578308629556212
69,4.693024388114679
70,5.0266249254085125
71,4.281577730632808
72,4.959645461308539
73,5.661509068553754
74,4.808860296770952
75,5.569128906587662
76,5.341733606328868
77,5.2244363935464015
78,2.3176983527634416
79,2.76768806427559
80,3.9836503284897837
81,4.27377670490205
82,7.647256519541219
83,8.25488216042649
84,7.001924214543905
85,3.88388839426676
86,4.244230357742661
87,5.431301361022487
88,8.834843404191956
89,5.313095609260946
90,5.548129962117836
91,6.560628909633834
92,6.953826616930751
93,6.703867416066728
94,6.844697588598024
95,8.108008946892566
96,23.428836976296733
97,2.6673445233697652
98,3.7634333818664802
99,3.518480198782724
100,5.688643232369524
101,6.132177637107502
102,3.7634333818664802
103,6.167168360655014
104,2.104857488307002
105,3.055125705603672
106,9.820121138655118
107,3.8221149529368246
108,3.7580359359720763
109,5.9343540058462
110,4.88454941387253
111,5.595062307389631
112,5.750760233593119
113,5.806113188809874
114,5.298515114999758
115,4.67969501350898
116,5.538846563498865
117,5.816394928127212
118,6.444489431279655
119,5.839478554466838
120,7.159255784471354
121,3.744759216726759
122,3.7534107013416382
123,3.752531316265567
124,3.5376056331841785
125,11.4897519659325
126,2.7972794370895024
127,4.811545258713309
128,25.89587902650262
129,7.234333297570111
130,4.199323340223115
131,5.915914602947718
132,3.980063761652547
133,3.8552248475504807
134,5.077221377577005
135,4.995618734520764
136,4.429973249620817
137,11.266015247023832
138,3.3094010701425396
139,5.3650154339320535
140,5.27318714573365
141,5.687168837745247
142,3.7855664556799136
143,4.235853896670397
144,5.406921395086346
145,4.938158750737476
146,4.3003502816503625
147,4.553977311788691
148,5.762220824286482
149,3.75943459931284
150,4.9924231395332415
151,6.261576446158594
152,4.393868024403922
153,10.204874160605165
154,12.200874842952397
155,6.067680133511511
156,3.8454079543761206
157,5.7680053453917965
158,5.399977155622463
159,6.413521576498202
160,2.6673445233697652
161,5.801893400517328
162,4.584428274786457
163,4.542834906341093
164,3.7634333818664802
165,6.260827771008379
166,3.588670196824469
167,13.206475783692937
168,11.721861154422445
169,4.55273689036324
170,4.55273689036324
171,9.367384451812269
172,4.84061625319526
173,6.767583236836583
174,6.772387068078199
175,2.6673445233697652
176,4.450902087347174
177,4.803098230441484
178,3.1661803508582143
179,5.790184342409033
180,3.473347276565209
181,5.066909036011676
182,5.066909036011676
183,4.926279386488398
184,5.066909036011676
185,5.066909036011676
186,4.883461643917072
187,4.926279386488398
