hash,perplexity
1,4.9432747972385505
2,5.749524337016059
3,6.904708068689625
4,7.039361482230112
5,7.400192912687451
6,3.975914514262425
7,4.822403438166346
8,3.352679627821301
9,5.150468795872215
10,4.109322693369548
11,15.084595653349538
12,8.151495494088282
13,8.105560040709449
14,18.67750309894322
15,14.498128896412396
16,7.937106902927977
17,8.088937463655148
18,7.904767767832345
19,6.993908639826223
20,17.55166976766322
21,6.526451922396643
22,9.520406610760832
23,5.867654587020548
24,4.899056316276531
25,4.899056316276531
26,8.088937463655148
27,7.828955755919102
28,6.993908639826223
29,6.526451922396643
30,21.737809636685256
31,7.174123753420671
32,8.74082753500052
33,8.104123891081995
34,6.169989447518167
35,6.922949553098921
36,7.502958733378947
37,7.593862720819927
38,7.077337183032198
39,9.721762950204289
40,6.697168550845944
41,7.528697908216514
42,4.899056316276531
43,7.17227695506593
44,6.895048143094171
45,8.088937463655148
46,15.125609983764356
47,7.714478627234922
48,8.088937463655148
49,15.125609983764356
50,8.749426225596466
51,6.199869272057296
52,4.828676933178419
53,5.898901339794735
54,4.7773328016028564
55,15.084595653349538
56,8.151495494088282
57,8.105560040709449
58,18.67750309894322
59,14.498128896412396
60,7.937106902927977
61,8.088937463655148
62,4.898920947685595
63,6.993908639826223
64,17.55166976766322
65,6.526451922396643
66,9.520406610760832
67,4.828676933178419
68,4.899056316276531
69,4.899056316276531
70,8.088937463655148
71,4.7773328016028564
72,6.993908639826223
73,6.526451922396643
74,21.737809636685256
75,7.174123753420671
76,11.078838058854931
77,15.084595653349538
78,8.151495494088282
79,8.105560040709449
80,18.67750309894322
81,16.374019729254552
82,7.937106902927977
83,8.088937463655148
84,4.898920947685595
85,6.993908639826223
86,17.55166976766322
87,6.526451922396643
88,15.55514027463415
89,4.828676933178419
90,4.899056316276531
91,4.899056316276531
92,8.088937463655148
93,4.7773328016028564
94,6.993908639826223
95,6.526451922396643
96,21.737809636685256
97,7.174123753420671
98,11.078838058854931
99,7.061210705499436
100,15.342100854187443
101,12.143794255311855
102,8.661128925915028
103,7.896948442934651
104,6.659848474943566
105,6.975662727621878
106,6.941001310613673
107,7.266613717212681
108,5.022409937833176
109,4.968160326416276
110,4.627397727503995
111,5.066304804070346
112,6.869735284198929
113,11.761222110794652
114,7.419932456704451
115,10.741578398072193
116,8.34064021618879
117,8.03780464914981
118,5.0328490193459166
119,7.653045191872506
120,4.900745178472058
121,5.325216003639643
122,7.653045191872506
123,5.106826712475843
124,5.272748744509055
125,4.911218455898314
126,7.546114747234884
127,6.656322607950047
128,5.889018381522167
129,4.900745178472058
130,5.0328490193459166
131,8.31587304236113
132,5.5982326654695305
133,9.093510483912688
134,9.093510483912688
135,11.761222110794652
136,7.981706058487235
137,8.411317388034801
138,6.754909169508203
139,8.233061849760487
140,10.774555386369691
141,7.4331377966852585
142,6.630919983974583
143,6.630919983974583
144,6.041587212510596
145,6.754909169508203
146,5.654427155825179
147,5.899153424274574
148,5.815487252197964
149,5.614405487681949
150,7.200718035013218
151,7.773675251306066
152,5.779341757188387
153,8.734664402210894
154,5.997541948907763
155,8.80931816346709
156,6.721858163567479
157,6.532342693301168
158,6.6379084684965965
159,7.9777336154549285
160,10.772460718921517
161,5.842109361915244
162,6.064543926845261
163,4.155676070088503
164,4.396123498259014
165,4.8495634046949725
166,5.010516123220796
167,7.46983361515246
168,6.623030533218952
169,4.8495634046949725
170,5.010516123220796
171,6.560353834698952
172,8.663959005372927
173,8.911618695051441
174,14.906838513499933
175,7.335601399164258
176,7.335601399164258
177,8.369125914046665
178,7.190902330506112
179,7.190902330506112
180,7.190902330506112
181,7.190902330506112
182,7.419385684469856
183,4.980222852142313
184,4.307221112641109
185,3.9534687179812034
186,4.933860377685989
187,8.691928798765545
188,6.6653110003823315
189,15.084595653349538
190,8.105560040709449
191,6.82921228804431
192,12.316684670950805
193,12.165378977146965
194,12.428181331802694
195,12.214326370629246
196,6.843877104688693
197,8.088937463655148
198,4.060488440506038
199,6.450926549306936
200,6.993908639826223
201,12.78500485307674
202,5.146640022713738
203,8.310464186865275
204,3.608748726892007
205,4.050541573070096
206,4.050541573070096
207,14.164516947173809
208,13.805706762883872
209,14.311488323836993
210,13.868677180819816
211,8.684620376189775
212,11.827864685629542
213,8.153456355794653
214,6.3626902721154055
215,8.153456355794653
216,6.3626902721154055
217,19.223434153217983
218,31.734706730055493
