hash,perplexity
1,2.4323344057007152
2,2.460798453855544
3,3.2944618008063054
4,2.9584605536865385
5,2.5635734106466144
6,2.2280936613904316
7,2.2355380834906624
8,3.2944618008063054
9,2.938833091040266
10,1.9080272536944032
11,2.064948853895521
12,3.515322668441921
13,1.8844459162307534
14,1.8928208888396052
15,2.102824651180329
16,2.3133942203019204
17,2.4816304050019724
18,2.1991635291623677
19,2.167897005960771
20,2.2133041504324167
21,1.9077182348730177
22,2.546994102459283
23,2.3085621446247067
24,2.4686645764387625
25,2.5190690994335467
26,2.4336220167035068
27,2.361254152337384
28,2.7766330157390593
29,2.5424148943603417
30,3.5809775327985967
31,3.2944618008063054
32,2.690151898859797
33,1.9080272536944032
34,2.064948853895521
35,3.515322668441921
36,1.9417382416246387
37,1.9673712216481423
38,2.186661544466502
39,2.3785639721724365
40,2.6968069961072128
41,2.288729375463447
42,2.2432469175081957
43,2.345869953175612
44,2.064388982777864
45,2.7142073559640245
46,2.531541062961404
47,2.6101879509949817
48,2.6718039437256356
49,2.57285481183195
50,2.361254152337384
51,2.7434709614045114
52,2.649692520059374
53,2.7309360539589087
54,2.6381353501653857
55,2.6468381208765868
56,2.5637114872801714
57,2.7309360539589087
58,2.6381353501653857
59,2.6133973018224124
60,2.5364306763253968
61,2.6940860317925557
62,2.6081545329292197
63,3.068301031983736
64,2.772999376199581
65,5.926088594261752
66,2.772999376199581
67,2.239098520880145
68,2.5260885430450846
69,2.9845235402945907
70,2.4164419521687264
71,2.3649246732910205
72,2.625965382861187
73,2.6387141946125037
74,2.5138792175156217
75,2.6599202752939473
76,3.402904844239041
77,2.797457545693041
78,1.9692154962207145
79,1.8301711415246493
80,2.1648571667276593
81,2.1690065510357925
82,2.5785060854767576
83,2.8402181431862377
84,2.8198697387183524
85,2.0535156737131004
86,4.3353493474907525
87,3.8273496558494666
88,3.0848191422158915
89,2.528390492157964
90,2.593515102184716
91,4.932877981051938
92,5.346635186782877
93,4.984669288212188
94,2.698827010908319
95,12.08985844990512
96,9.673237047426444
97,2.4323344057007152
98,3.2944618008063054
99,2.328079505389352
100,2.937284077750109
101,6.4054513913689535
102,3.2944618008063054
103,2.8302088869472533
104,1.9080272536944032
105,2.064948853895521
106,3.515322668441921
107,2.0352599355648335
108,2.090036095618086
109,2.2131550154782604
110,2.48687251657208
111,3.1689490246385312
112,2.4120245990565476
113,2.397284831432894
114,2.411669760096385
115,2.1256901761180766
116,2.771636861550662
117,2.9229494966403946
118,2.659735151752988
119,2.7246618939133795
120,2.811094745326607
121,2.361254152337384
122,2.4093898281277126
123,2.258479791997775
124,2.6519553272176557
125,3.9981219664194323
126,2.6408385980850504
127,2.3316375239721796
128,35.483039438230975
129,2.954717575852894
130,2.1674816597559254
131,2.780954185410021
132,2.6594923450277412
133,2.642733758612456
134,2.5625496626343005
135,2.4562134423654918
136,2.3310601641365056
