hash,perplexity
1,57.84134501671608
2,7.964815942003969
3,12551.92622577913
4,146.72331742881045
5,129.7001001500799
6,101.96400588834823
7,87.61358459348143
8,12551.92622577913
9,170.11189749459135
10,369.7427814767436
11,27.33232034838693
12,96.85336022127453
13,104.63800062995476
14,96.6634728220031
15,46.18513881634644
16,33.38563873025626
17,60.745838683329396
18,40.29112098776866
19,88.21943459383479
20,16.675720622849415
21,78.93817386773341
22,72.55304276138601
23,45.64735592261742
24,44.201264880826656
25,51.95321302648488
26,235.99378736671906
27,211.35130850063499
28,53.78079362303727
29,75.67037665229444
30,81.10805276387089
31,12551.92622577913
32,201.21025630458885
33,369.7427814767436
34,27.33232034838693
35,96.85336022127453
36,103.43212362655322
37,95.4329131520616
38,47.87755609240916
39,34.15209382515231
40,63.22114726819026
41,38.965561584076355
42,89.13120495817915
43,19.415564607516945
44,78.78433438496411
45,72.37512691496418
46,46.49149112597604
47,44.70223944977571
48,52.33372012218008
49,227.66182526011326
50,211.35130850063499
51,22.548398439920646
52,24.01784342233707
53,20.419318624933005
54,24.321943192775898
55,19.84983249890361
56,22.388037296336663
57,21.816492992739136
58,24.40040322000537
59,20.687060317697767
60,23.15947893886478
61,22.660977701244413
62,25.171195650333257
63,691.8400627416048
64,669.8030576356648
65,5.925629896914852
66,226.81348033553726
67,126.87883039400343
68,38.23208459951617
69,54.30943173363105
70,23.79779823053511
71,38.66672256607526
72,21.319462201975593
73,24.1770685485899
74,6.729709858537837
75,12.295935618827128
76,73.46710012356203
77,18.078464483384465
78,45.12864811832691
79,66.62591824264308
80,16.200472300123355
81,22.109368711556755
82,31.731692145351737
83,79.78639414882277
84,83.1508033960887
85,24.88497808632093
86,16.50596034120247
87,11.28035669753736
88,44.44693023695156
89,116.29881652609915
90,140.75044657601967
91,90.76930722149251
92,86.45899352544224
93,97.30829316181345
94,187.69253077839667
95,889.4140020991249
96,310.28221852365186
97,73.15903112277117
98,12551.92622577913
99,99.76781904582103
100,198.45702045008713
101,54.54496782372161
102,12551.92622577913
103,208.0631838503163
104,369.7427814767436
105,27.33232034838693
106,96.85336022127453
107,107.52309826173243
108,100.29672996414259
109,49.33414074481882
110,36.01920808809582
111,70.29047432152663
112,45.01814944643139
113,92.59408660715089
114,20.696373966827082
115,82.79415466003083
116,75.25261599179902
117,42.431730959819944
118,46.831757716400254
119,54.72857935979066
120,228.55268345145595
121,211.35130850063499
122,4.183064117478724
123,4.243347778874795
124,243.29180020944634
125,384.680371892063
126,861.7425077088137
127,337.0562088005272
128,159.34567674009145
129,279.0182024698222
130,421.1932308107931
131,232.0698032019401
132,155.92494464764155
133,151.42550571124715
134,15.363884968579942
135,16.488958093780784
136,56.48867963151114
137,203.1286826736021
138,44.75382224805687
139,58.29141414141906
140,124.07838248804049
141,137.41839174670847
142,57.967414862247395
143,21.845157798332583
144,9.90350336186156
145,24.78533502690132
146,15.755989354639969
147,35.19471135800238
148,39.15975897738509
149,3.87196403876917
150,24.661528786256053
151,11.467593663006333
152,78.49264919055732
153,68.10440474634748
154,43.63448855677551
155,2993.597255098676
156,23.92790035381895
157,134.037412287703
158,117.44337151224812
159,10.735224124563375
160,49.92122364861378
161,32.56362349963433
162,10.337521368804497
163,11.50500567396452
164,12551.92622577913
165,109.37074492174767
166,113.60824971847357
167,63.653349409987925
168,52.35342663613682
169,64.26713255571555
170,69.78365030326684
171,53.46223812370198
172,4.089472118635594
173,184.29841311397695
174,153.0620875767268
175,60.97433477364223
176,14.71167838637356
177,89.15873042461955
178,13.92757922534359
179,5.572749671814781
180,4.53575036813564
181,6.5910196251833195
182,6.593683255468953
183,6.525498307576811
184,6.8397922241234514
185,6.760537862898457
186,6.447618448964863
187,6.756262094177002
188,6.767763652793442
189,6.5163977596914
190,6.598106611602685
191,6.5903195572355395
192,6.532202836142091
193,6.847145304324006
194,6.767805741143277
195,6.454241701179218
196,6.763202397520047
197,6.77471709337292
198,6.523245181093591
199,7.166520628198777
200,7.365206492078389
201,7.627174742818664
202,10.326573331900645
