hash,perplexity
1,66.30937376237304
2,18.44635941530763
3,15865.058519382144
4,320.72566575878125
5,231.57719405883992
6,227.848930503271
7,106.60979954720717
8,15865.058519382144
9,408.3151398905536
10,532.1685251025942
11,108.4277909404699
12,167.7374996909086
13,231.8846567387835
14,212.22305305574952
15,124.85013608864742
16,74.66153987625445
17,105.01585941478731
18,94.70980245242879
19,185.50108908351217
20,49.51134126686921
21,247.10108044605266
22,194.89980796705402
23,105.7950553653728
24,89.58338867655559
25,161.2791858679661
26,607.0367972777487
27,396.773383843898
28,111.69086349968418
29,219.14262140539185
30,84.82357001352993
31,15865.058519382144
32,402.13082247348456
33,532.1685251025942
34,108.4277909404699
35,167.7374996909086
36,214.65108015501954
37,193.1190629535441
38,130.5893410949346
39,73.48073551438995
40,101.21538059356554
41,91.45337986505228
42,181.2238028644927
43,50.93615019969668
44,248.70300229013645
45,196.63103157938332
46,110.39594664566702
47,92.18770778329443
48,163.47037898301957
49,592.419031978217
50,396.773383843898
51,54.83728494293922
52,53.97254489118543
53,49.72728899364698
54,51.25282308653786
55,45.385012013985
56,48.16006216589971
57,52.68115774585652
58,55.16646347375237
59,45.23682199177932
60,47.92448063393519
61,52.23359301965494
62,54.656587614284504
63,1762.2760553031267
64,877.8540508108734
65,5.920262362434333
66,361.7480460973437
67,309.17080159260433
68,138.42179834362662
69,185.50319798957676
70,68.50442242289073
71,119.90293065385941
72,62.60544272264936
73,82.83839801708278
74,50.486099250896736
75,59.13536116235889
76,143.66251021212764
77,63.59877474018614
78,67.16202791531089
79,134.6791712799198
80,30.98080383583772
81,35.7292065015541
82,63.81703294430068
83,170.94583766157666
84,177.78724227277144
85,104.21468198658643
86,43.53215409084763
87,34.057784249750775
88,152.17012234283786
89,173.76987495702522
90,298.8939241363706
91,131.2503542362008
92,99.36545009939682
93,117.61696326508775
94,386.6584792161677
95,1497.9413205772453
96,345.97808265964903
97,59.29464852950317
98,15865.058519382144
99,213.29072208338366
100,313.56322295110834
101,41.83872959815361
102,15865.058519382144
103,419.22924988339906
104,532.1685251025942
105,108.4277909404699
106,167.7374996909086
107,222.29124153800123
108,202.10543977079845
109,127.21567543483312
110,77.17846542857298
111,112.62770442124726
